Y,X1,X2,X3,X4,X5,X6,X7
26087,56.6,50.1,63.7,58,-0.3,-1.1,0.6
28143,56.6,36,84.1,5,-2,-3.9,0
29031,56.6,49.8,64.2,50,0.8,-0.1,1.6
37051,56.6,52.6,60.9,154,-1.8,-2.3,-1.3
39039,56.6,47.4,67.2,27,0.5,-0.5,1.5
42105,56.6,44.5,71.5,15,1.2,-0.5,2.9
48007,56.6,46.7,68.5,24,-2,-3.3,-0.7
48021,56.6,49,64.9,43,-0.8,-1.9,0.3
48365,56.6,45.1,70.4,17,-1,-2.6,0.7
13293,56.5,45.8,69.2,20,0.4,-0.8,1.6
13281,56.5,41.5,76.7,12,0.6,-2,3.2
17099,56.5,51.1,62.3,84,-2,-3.4,-0.6
19175,56.5,41.5,75.6,10,0,-1.8,1.9
22113,56.5,48.5,65.6,36,-0.9,-1.9,0
23027,56.5,47.5,67,29,-1.1,-2.2,0
39155,56.5,52.7,60.5,168,-0.3,-0.7,0.1
40043,56.5,34.3,89.8,4,-1.2,-4.2,2
42121,56.5,49.3,64.5,46,0.1,-0.7,0.9
48181,56.5,51.3,62.2,87,-1.4,-2,-0.7
13153,56.4,50.6,62.6,72,-1,-2,0
19073,56.4,39.6,79,8,2.2,-0.3,4.6
28087,56.4,48.4,65.2,37,-1.1,-1.8,-0.4
36033,56.4,48.1,65.8,33,-1.3,-2.1,-0.5
40077,56.4,40.7,76.9,9,-2.6,-4.6,-0.6
47003,56.4,47.3,66.8,28,-0.8,-2,0.4
48357,56.4,36.3,83.1,5,-1.7,-4.7,1.4
51027,56.4,45.4,69.6,19,-1.1,-2.6,0.5
1067,56.3,43.6,71.9,14,-1.1,-2.4,0.4
1049,56.3,49.2,64.2,46,-8.2,-18.4,3.2
13001,56.3,42.6,73.1,12,-0.9,-3,1.2
19007,56.3,41.9,74.6,11,1.6,-0.8,4.1
19013,56.3,50.9,62.1,84,0.9,-0.9,2.7
20147,56.3,35.1,87.3,5,**,**,**
22095,56.3,46.5,67.6,25,-1.7,-3.3,-0.1
23021,56.3,44.1,71.5,15,-1,-2.9,1
36063,56.3,52.4,60.5,159,-0.6,-1.1,-0.1
37161,56.3,49.7,63.6,54,-0.2,-1.4,1
37007,56.3,45.1,69.5,18,-0.1,-1.4,1.3
39175,56.3,44.7,70.2,17,1.5,-0.1,3
